                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                           #***#                                
                                          ##****#                               
                                        ****%#*#%                               
                                   *******##*#%%%   ==                          
                                  ##****#**%@%%%    ====*                       
                                 **##*##%**#*#@@    ====  ==                    
                                *****#@#****#**%  -#  ======                    
                              #*#**%%**#***#%*#=+%   =%===                      
                              %***%%%#**@%%%%#@@%%===++===                      
                              %***#%%%%%#%**@%%@*====++                         
                              %#**#%%%%**@%%%%%*=+**                            
                               %#****%%%%%%%%  %#***                            
                                %###%#%%%%%%@@  %%%**                           
                              %@#%%%%%%%@%%%@@   %%#+*                          
                           ===+%@ %%%%%%%%@%%%%%% %%%#*                         
                          +=+#%   %%%%%%%%%@@@%%%%% %%*%*                       
                           @%     %@@%@@@@@@@@%%%%%% **%*                       
                                  @@@%%%@@@@@@@@%%%%% @                         
                                  @%%%%%@  @@@@@@@%%%@                          
                                  %%%%%@      @@@@@@@@@                         
                                %%%@@%%@        @@@@@@@                         
                               %@@@@%%@@         @@@@@@                         
                              @@@@@@@@           @@@@@@                         
                              @@@@@@@            @@@@@@                         
                             %%%@@@              @@@@@@                         
                            %%%@@@                @@@@@                         
                           @%@%@@                 @@@@@@                        
                           @@%%%%%                @@@@@%%%%                     
                           @@%%@@@@               @@@@@@@@@%@@                  
