                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                           #****##                              
                                          %#*##**#                              
                                        ****#**#%*   =     %                    
                                     ****##%%#%%%     ===*                      
                                   ##***##*#%@@%%    *===   ==                  
                                  %##**###*#*#%@%   =+@+++====                  
                                  ****#%#***%*#%@ -=@  +*====                   
                                #****#%#****%*#%%*# +===*==                     
                                ***#%%%%%%%%%%%%@%%=====++                      
                               %%***%@%%%*#%**%%%%#==                           
                                %#**%%%%*#*@@@ %%*=+*                           
                                %%**%#**%%%@%    %%***                          
                                 %%#****%%%@@@    %%#+*                         
                                  @%##%#%%%%%%%%    #%**#                       
                                  %#%%%%%%%@%%%%%%   %%%*+                      
                               ===+@@@%%%@@@@@%%%%%%  #%%%**                    
                             +==+%@@@@@@@@@@@@@@%%%%% @#%*                      
                              %*% @@@@@@@ @@@@@@@@%%@%%                         
                                  @%@%@@@   @@@@@@@@%%@                         
                                 %%%%%%@         @@@@@@                         
                                @@%%%%%@         @@@@@@                         
                               @@@@@@@@          @@@@@@                         
                              @@@@@@@            @@@@@@                         
                             %@%@@@@              @@@@@                         
                             %%@@@@               @@@@@                         
                           @%%%@@                 @@@@@%                        
                           @@%%%%%                @@@@@%%%%                     
                           @@%%%@@@               @@@@@@@@%%@@                  
